COORD_X,COORD_Y,LONGITUD,ANGLE,C_Tram,C_Nus_I,C_Nus_F,Distric_D,NDistric_D,Illa_D,CVia_D,TVia_D,NVia_D,Tram_Dret,Distric_E,NDistric_E,Illa_E,CVia_E,TVia_E,NVia_E,Tram_Esq,Buffer_Len,Area
432128.89299999998,4581047.60599999968,42.61500000000,15.04000000000,T00001B,N00001D,N00002E,"01",Ciutat Vella,"10390","010900",Carrer,Carrer Pepe Rubianes,"2","01",Ciutat Vella,"10410","010900",Carrer,Carrer Pepe Rubianes,"1",0.00,997.90
432156.64899999998,4581054.94600000046,14.80600000000,14.20000000000,T00002C,N00002E,N00003F,"01",Ciutat Vella,"10371","010900",Carrer,Carrer Pepe Rubianes,4 <=> 6,"01",Ciutat Vella,"10421","010900",Carrer,Carrer Pepe Rubianes,3 <=> 5,0.00,353.31
432171.17099999997,4581059.20000000019,15.48000000000,18.40000000000,T00003D,N00003F,N00004G,"01",Ciutat Vella,"10371","010900",Carrer,Carrer Pepe Rubianes,4 <=> 6,"01",Ciutat Vella,"10421","010900",Carrer,Carrer Pepe Rubianes,3 <=> 5,18.25,360.32
432185.86300000001,4581063.06799999997,14.96900000000,10.98000000000,T00004E,N00004G,N00005H,"01",Ciutat Vella,"10360","010900",Carrer,Carrer Pepe Rubianes,8 <=> 8 Z,"01",Ciutat Vella,"10441","010900",Carrer,Carrer Pepe Rubianes,7 <=> 9,4.44,350.49
432200.39600000001,4581066.65899999999,15.01000000000,16.80000000000,T00005F,N00005H,N00006I,"01",Ciutat Vella,"10350","010900",Carrer,Carrer Pepe Rubianes,"10","01",Ciutat Vella,"10441","010900",Carrer,Carrer Pepe Rubianes,7 <=> 9,0.00,384.50
432214.83600000001,4581070.63499999978,14.95300000000,14.00000000000,T00006G,N00006I,N00007J,"01",Ciutat Vella,"10331","010900",Carrer,Carrer Pepe Rubianes,12 <=> 14,"01",Ciutat Vella,"10461","010900",Carrer,Carrer Pepe Rubianes,11 <=> 13,17.10,383.25
432229.27399999998,4581074.50800000038,14.94900000000,16.00000000000,T00007H,N00007J,N00008K,"01",Ciutat Vella,"10331","010900",Carrer,Carrer Pepe Rubianes,12 <=> 14,"01",Ciutat Vella,"10461","010900",Carrer,Carrer Pepe Rubianes,11 <=> 13,19.51,397.80
432243.45899999997,4581078.41299999971,14.47700000000,14.70000000000,T00008I,N00008K,N00009L,"01",Ciutat Vella,"10320","010900",Carrer,Carrer Pepe Rubianes,"16","01",Ciutat Vella,"10480","010900",Carrer,Carrer Pepe Rubianes,15 - 17,0.00,387.32
432257.77200000000,4581082.41600000020,15.25200000000,16.50000000000,T00009J,N00009L,N00010E,"01",Ciutat Vella,"10310","010900",Carrer,Carrer Pepe Rubianes,"18","01",Ciutat Vella,"10480","010900",Carrer,Carrer Pepe Rubianes,15 - 17,12.96,406.83
432272.24400000001,4581086.67100000009,14.91600000000,16.30000000000,T00010C,N00010E,N00011F,"01",Ciutat Vella,"10300","010900",Carrer,Carrer Pepe Rubianes,"20","01",Ciutat Vella,"10490","010900",Carrer,Carrer Pepe Rubianes,19 - 21,0.00,394.69
432286.50699999998,4581090.65000000037,14.70000000000,14.90000000000,T00011D,N00011F,N00012G,"01",Ciutat Vella,"10290","010900",Carrer,Carrer Pepe Rubianes,"22","01",Ciutat Vella,"10490","010900",Carrer,Carrer Pepe Rubianes,19 - 21,0.00,388.99
432301.05400000000,4581094.90199999977,15.62100000000,17.60000000000,T00012E,N00012G,N00013H,"01",Ciutat Vella,"10271","010900",Carrer,Carrer Pepe Rubianes,24 <=> 26,"01",Ciutat Vella,"10501","010900",Carrer,Carrer Pepe Rubianes,23 <=> 25,17.75,391.39
432315.52200000000,4581098.97900000028,14.45800000000,13.70000000000,T00013F,N00013H,N00014I,"01",Ciutat Vella,"10271","010900",Carrer,Carrer Pepe Rubianes,24 <=> 26,"01",Ciutat Vella,"10501","010900",Carrer,Carrer Pepe Rubianes,23 <=> 25,19.49,362.26
432329.97999999998,4581102.62299999967,15.36300000000,14.60000000000,T00014G,N00014I,N00015J,"01",Ciutat Vella,"10260","010900",Carrer,Carrer Pepe Rubianes,"28","01",Ciutat Vella,"10521","010900",Carrer,Carrer Pepe Rubianes,27 <=> 29,0.00,399.13
432344.49500000000,4581106.57100000046,14.72500000000,15.90000000000,T00015H,N00015J,N00016K,"01",Ciutat Vella,"10250","010900",Carrer,Carrer Pepe Rubianes,"30","01",Ciutat Vella,"10521","010900",Carrer,Carrer Pepe Rubianes,"29",0.00,371.51
432159.53600000002,4580941.59900000039,43.17200000000,15.70000000000,T00016I,N00017L,N00018M,"01",Ciutat Vella,"10130","010707",Carrer,Carrer Almirall Aixada,"2","01",Ciutat Vella,"10390","010707",Carrer,Carrer Almirall Aixada,"1",0.00,386.15
432187.32600000000,4580949.66100000031,14.70500000000,17.60000000000,T00017J,N00018M,N00019N,"01",Ciutat Vella,"10140","010707",Carrer,Carrer Almirall Aixada,"4","01",Ciutat Vella,"10371","010707",Carrer,Carrer Almirall Aixada,3 <=> 5,0.00,122.76
432201.69699999999,4580953.99399999995,15.31900000000,16.00000000000,T00018K,N00019N,N00020G,"01",Ciutat Vella,"10150","010707",Carrer,Carrer Almirall Aixada,"6","01",Ciutat Vella,"10371","010707",Carrer,Carrer Almirall Aixada,3 <=> 5,0.00,134.49
432216.27100000001,4580958.27099999972,15.05900000000,16.70000000000,T00019L,N00020G,N00021H,"01",Ciutat Vella,"10160","010707",Carrer,Carrer Almirall Aixada,"8","01",Ciutat Vella,"10360","010707",Carrer,Carrer Almirall Aixada,"7",0.00,138.01
432230.84499999997,4580962.57500000019,15.33400000000,16.20000000000,T00020E,N00021H,N00022I,"01",Ciutat Vella,"10170","010707",Carrer,Carrer Almirall Aixada,"10","01",Ciutat Vella,"10350","010707",Carrer,Carrer Almirall Aixada,"9",0.00,141.30
432245.28499999997,4580966.52500000037,14.61000000000,14.40000000000,T00021F,N00022I,N00023J,"01",Ciutat Vella,"10180","010707",Carrer,Carrer Almirall Aixada,"12","01",Ciutat Vella,"10331","010707",Carrer,Carrer Almirall Aixada,11 <=> 13,0.00,137.65
432259.37099999998,4580970.58399999980,14.72100000000,17.80000000000,T00022G,N00023J,N00024K,"01",Ciutat Vella,"10190","010707",Carrer,Carrer Almirall Aixada,"14","01",Ciutat Vella,"10331","010707",Carrer,Carrer Almirall Aixada,11 <=> 13,0.00,135.29
432273.69300000003,4580974.99399999995,15.25200000000,16.50000000000,T00023H,N00024K,N00025L,"01",Ciutat Vella,"10200","010707",Carrer,Carrer Almirall Aixada,"16","01",Ciutat Vella,"10320","010707",Carrer,Carrer Almirall Aixada,"15",0.00,138.62
432288.10499999998,4580978.86799999978,14.60600000000,13.50000000000,T00024I,N00025L,N00026M,"01",Ciutat Vella,"10210","010707",Carrer,Carrer Almirall Aixada,"18","01",Ciutat Vella,"10310","010707",Carrer,Carrer Almirall Aixada,"17",0.00,136.33
432302.23999999999,4580982.79899999965,14.75300000000,17.50000000000,T00025J,N00026M,N00027N,"01",Ciutat Vella,"10220","010707",Carrer,Carrer Almirall Aixada,"20","01",Ciutat Vella,"10300","010707",Carrer,Carrer Almirall Aixada,"19",0.00,141.88
432316.50599999999,4580986.98199999984,14.98700000000,15.20000000000,T00026K,N00027N,N00028O,"01",Ciutat Vella,"10230","010707",Carrer,Carrer Almirall Aixada,"22","01",Ciutat Vella,"10290","010707",Carrer,Carrer Almirall Aixada,"21",0.00,150.18
432330.64000000001,4580990.91199999955,14.35400000000,15.90000000000,T00027L,N00028O,N00029P,"01",Ciutat Vella,"10240","010707",Carrer,Carrer Almirall Aixada,"24","01",Ciutat Vella,"10271","010707",Carrer,Carrer Almirall Aixada,23 <=> 25,0.00,161.57
432345.19600000000,4580995.43200000003,17.75400000000,16.30000000000,T00028M,N00029P,N00030I,"01",Ciutat Vella,"10040","010707",Carrer,Carrer Almirall Aixada,26 - 32,"01",Ciutat Vella,"10271","010707",Carrer,Carrer Almirall Aixada,23 <=> 25,0.00,107.76
432357.02899999998,4581006.98199999984,15.52800000000,47.20000000000,T00029N,N00030I,N00031J,"01",Ciutat Vella,"10040","010707",Carrer,Carrer Almirall Aixada,26 - 32,"01",Ciutat Vella,"10260","010707",Carrer,Carrer Almirall Aixada,"27",1.00,127.41
432182.58799999999,4580861.19600000046,43.32800000000,15.39000000000,T00030G,N00032K,N00033L,"01",Ciutat Vella,"10120","174001",Carrer,Carrer Judici,"2","01",Ciutat Vella,"10130","174001",Carrer,Carrer Judici,"1",0.00,453.54
432210.53000000003,4580868.93699999992,14.66000000000,15.80000000000,T00031H,N00033L,N00034M,"01",Ciutat Vella,"10110","174001",Carrer,Carrer Judici,"4","01",Ciutat Vella,"10140","174001",Carrer,Carrer Judici,"3",0.00,155.00
432224.92599999998,4580873.26999999955,15.41300000000,17.70000000000,T00032I,N00034M,N00035N,"01",Ciutat Vella,"10100","174001",Carrer,Carrer Judici,"6","01",Ciutat Vella,"10150","174001",Carrer,Carrer Judici,"5",0.00,139.77
432239.44799999997,4580877.47200000007,14.83400000000,14.50000000000,T00033J,N00035N,N00036O,"01",Ciutat Vella,"10090","174001",Carrer,Carrer Judici,"8","01",Ciutat Vella,"10160","174001",Carrer,Carrer Judici,"7",0.00,128.94
432253.86099999998,4580881.37100000028,15.03100000000,15.70000000000,T00034K,N00036O,N00037P,"01",Ciutat Vella,"10080","174001",Carrer,Carrer Judici,"10","01",Ciutat Vella,"10170","174001",Carrer,Carrer Judici,"9",0.00,147.00
432268.48200000002,4580885.52099999972,15.36800000000,16.00000000000,T00035L,N00037P,N00038Q,"01",Ciutat Vella,"10070","174001",Carrer,Carrer Judici,"12","01",Ciutat Vella,"10180","174001",Carrer,Carrer Judici,"11",0.00,149.30
432282.87800000003,4580889.75200000033,14.64100000000,16.80000000000,T00036M,N00038Q,N00039R,"01",Ciutat Vella,"10060","174001",Carrer,Carrer Judici,"14","01",Ciutat Vella,"10190","174001",Carrer,Carrer Judici,"13",0.00,133.28
432297.04100000003,4580893.83499999996,14.84100000000,15.30000000000,T00037N,N00039R,N00040K,"01",Ciutat Vella,"10050","174001",Carrer,Carrer Judici,16 <=> 18,"01",Ciutat Vella,"10200","174001",Carrer,Carrer Judici,"15",0.00,132.56
