C_Tram,Buffer_R_DONT-USE,Buffer_L_DONT-USE,Street_Buffer_DONT-USE,Street_Buffer
T00001B,0,0,0,10
T00002C,0,0,0,10
T00003D,20.47,0,20.47,20.47
T00004E,0,0,0,10
T00005F,8.88,0,8.88,8.88
T00006G,20.67,21.69,42.36,42.36
T00007H,23.16,0,23.16,23.16
T00008I,0,21.69,21.69,21.69
T00009J,0,18,18,18
T00010C,0,15.81,15.81,15.81
T00011D,0,23.56,23.56,23.56
T00012E,21.18,20.67,41.85,41.85
T00013F,23.24,22.77,46.01,46.01
T00014G,0,0,0,10
T00015H,0,22.96,22.96,22.96
T00016I,0,0,0,10
T00017J,0,0,0,10
T00018K,0,0,0,10
T00019L,0,0,0,10
T00020E,0,0,0,10
T00021F,0,0,0,10
T00022G,0,0,0,10
T00023H,0,0,0,10
T00024I,0,0,0,10
T00025J,0,0,0,10
T00026K,0,0,0,10
T00027L,3.21,0,3.21,3.21
T00028M,3.04,0,3.04,3.04
T00029N,4.1,0,4.1,4.1
T00030G,0,0,0,10
T00031H,0,0,0,10
T00032I,0,0,0,10
T00033J,0,0,0,10
T00034K,0,0,0,10
T00035L,0,0,0,10
T00036M,4.45,0,4.45,4.45
T00037N,0,0,0,10
T00038O,4.48,0,4.48,4.48
T00040I,0,0,0,10
T00041J,0,0,0,10
T00042K,0,0,0,10
T00049R,0,0,0,10
T00050K,0,0,0,10
T00051L,0,0,0,10
T00053N,0,0,0,10
T00054O,0,0,0,10
T00055P,0,0,0,10
T00056Q,0,0,0,10
T00057R,0,0,0,10
T00059T,0,0,0,10
T00060M,0,0,0,10
T00061N,0,0,0,10
T00062O,0,0,0,10
T00063P,0,0,0,10
T00065R,0,0,0,10
T00066S,0,0,0,10
T00067T,0,0,0,10
T00068U,0,0,0,10
T00069V,25.04,0,25.04,25.04
T00070O,0,0,0,10
T00071P,0,0,0,10
T00072Q,0,1.67,1.67,10
T00073R,0,0,0,10
T00074S,0,0,0,10
T00075T,0,0,0,10
T00076U,0,0,0,10
T00079X,0,0,0,10
T00080Q,0,3.2,3.2,3.2
T00083T,0,0,0,10
T00084U,0,0,0,10
T00085V,0,0,0,10
T00086W,0,0,0,10
T00087X,0,0,0,10
T00088Y,0,0,0,10
T00089Z,0,0,0,10
T00090S,0,0,0,10
T00091T,0,0,0,10
T00092U,0,0,0,10
T00095X,0,0,0,10
T00096Y,0,0,0,10
T00097Z,0,0,0,10
T00098A,0,0,0,10
T00099B,0,0,0,10
T00100D,0,0,0,10
T00101E,0,0,0,10
T00102F,2.85,0,2.85,2.85
T00103G,0.86,0,0.86,10
T00104H,23.31,0,23.31,23.31
T00105I,22.56,0,22.56,22.56
T00106J,22.62,0,22.62,22.62
T00107K,9.07,21.28,30.35,30.35
T00108L,0,8.98,8.98,8.98
T00109M,0,11.55,11.55,11.55
T00110F,0,22.4,22.4,22.4
T00111G,0,6.48,6.48,6.48
T00112H,0,0,0,10
T00114J,0,0,0,10
T00116L,0,0,0,10
T00118N,0,0,0,10
T00119O,0,0,0,10
T00120H,0,20.23,20.23,20.23
T00121I,0,0,0,10
T00122J,0,0,0,10
T00123K,0,0,0,10
T00126N,0,0,0,10
T00127O,0,21.14,21.14,21.14
T00128P,0,11.93,11.93,11.93
T00129Q,0,4.19,4.19,4.19
T00130J,0,0,0,10
T00131K,3.33,3.35,6.68,6.68
T00134N,22.64,0,22.64,22.64
T00135O,21.43,0,21.43,21.43
T00137Q,0,0,0,10
T00138R,0,0,0,10
T00141M,0,0,0,10
T00142N,0,0,0,10
T00143O,0,0,0,10
T00145Q,0,0,0,10
T00147S,0,0,0,10
T00148T,0,0,0,10
T00149U,0,18.99,18.99,18.99
T00150N,0,0,0,10
T00151O,0,9.8,9.8,9.8
T00152P,0,0,0,10
T00156T,0,0,0,10
T00157U,0,0,0,10
T00158V,0,0,0,10
T00160P,0,0,0,10
T00161Q,0,0,0,10
T00162R,0,0,0,10
T00164T,0,0,0,10
T00165U,0,0,0,10
T00166V,0,0,0,10
T00168X,0,0,0,10
T00169Y,0,0,0,10
T00170R,0,4.11,4.11,4.11
T00171S,0,0,0,10
T00172T,0,0,0,10
T00173U,11.36,0,11.36,11.36
T00174V,10.77,0,10.77,10.77
T00175W,11.12,0,11.12,11.12
T00176X,10.94,0,10.94,10.94
T00181U,0,0,0,10
T00182V,0,0,0,10
T00183W,20.68,0,20.68,20.68
T00184X,0,0,0,10
T00185Y,0,11.73,11.73,11.73
T00186Z,0,18.17,18.17,18.17
T00187A,0,19.03,19.03,19.03
T00188B,0,20.7,20.7,20.7
T00189C,0,20.81,20.81,20.81
T00190V,0,16.08,16.08,16.08
T00191W,0,15.75,15.75,15.75
T00192X,0,20.1,20.1,20.1
T00193Y,0,18.21,18.21,18.21
T00194Z,0,19.38,19.38,19.38
T00195A,0,17.3,17.3,17.3
T00196B,0,0,0,10
T00197C,0,7.7,7.7,7.7
T00199E,0,0,0,10
T00201H,0,0,0,10
T00203J,0,0,0,10
T00208O,5.09,0,5.09,5.09
T00209P,0,0,0,10
T00210I,0,0.69,0.69,10
T00212K,0,0,0,10
T00216O,0,0,0,10
T00217P,0,0,0,10
T00219R,0,0,0,10
T00220K,0,0,0,10
T00222M,0,3.6,3.6,3.6
T00223N,0,0,0,10
T00225P,0,0,0,10
T00227R,0,0,0,10
T00228S,0,0,0,10
T00229T,0,0,0,10
T00232O,0,0,0,10
T00233P,0,0,0,10
T00234Q,10.99,0,10.99,10.99
T00235R,0,0,0,10
T00236S,0,0,0,10
T00237T,0,0,0,10
T00238U,0,0,0,10
T00239V,0,0,0,10
T00240O,0,0,0,10
T00241P,0,0,0,10
T00242Q,0,0,0,10
T00243R,0,0,0,10
T00244S,19.67,0,19.67,19.67
T00245T,0,0,0,10
T00246U,0,0,0,10
T00247V,0,0,0,10
T00248W,0,9.62,9.62,9.62
T00249X,0,0,0,10
T00250Q,0,0,0,10
T00251R,0,8.47,8.47,8.47
T00252S,0,0,0,10
T00254U,0,0,0,10
T00255V,0,0,0,10
T00261T,5.5,8.53,14.03,14.03
T00262U,5.79,0,5.79,5.79
T00263V,5.85,0,5.85,5.85
T00264W,12.8,8.18,20.98,20.98
T00265X,9.39,12.48,21.87,21.87
T00267Z,16.87,32.4,49.27,49.27
T00268A,16.81,0,16.81,16.81
T00269B,9.59,0,9.59,9.59
T00270U,27.89,24.42,52.31,52.31
T00271V,25.9,25.79,51.69,51.69
T00275Z,19.03,0,19.03,19.03
T00276A,0,6.3,6.3,6.3
T00299H,4.16,0,4.16,4.16
T00302L,0,22.34,22.34,22.34
T00305O,0,2.12,2.12,2.12
T00316R,0,0,0,10
T00317S,0,0,0,10
T00318T,0,0,0,10
T00322P,21.69,0,21.69,21.69
T00336V,0,0,0,10
T00337W,0,0,0,10
T00338X,0,0,0,10
T00339Y,0,0,0,10
T00341S,42.53,0,42.53,42.53
T00342T,12.02,0,12.02,12.02
T00343U,0,0,0,10
T00344V,0,0,0,10
T00345W,0,0,0,10
T00346X,0,0,0,10
T00347Y,0,0,0,10
T00348Z,0,41.29,41.29,41.29
T00349A,30.95,0,30.95,30.95
T00350T,39.87,16.13,56,56
T00351U,0,0,0,10
